2015,Bayesian Networks Specified Using Propositional and Relational Constructs: Combined, Data, and Domain Complexity.,IME/USP; Poli/USP,Fábio Gagliardi Cozman; Denis Deratani Mauá
2015,Fast Convention Formation in Dynamic Networks Using Topological Knowledge.,UFRGS,Mohammad Rashedul Hasan; Anita Raja; Ana L. C. Bazzan
2015,Never-Ending Learning.,UFSCAR,Tom M. Mitchell; William W. Cohen; Estevam R. Hruschka Jr.; Partha Pratim Talukdar; Justin Betteridge; Andrew Carlson; Bhavana Dalvi Mishra; Matthew Gardner; Bryan Kisiel; Jayant Krishnamurthy; Ni Lao; Kathryn Mazaitis; Thahir Mohamed; Ndapandula Nakashole; Emmanouil Antonios Platanios; Alan Ritter; Mehdi Samadi; Burr Settles; Richard C. Wang; Derry Tanti Wijaya; Abhinav Gupta; Xinlei Chen; Abulhair Saparov; Malcolm Greaves; Joel Welling
2015,Real-Time Symbolic Dynamic Programming.,IME/USP,Luis Gustavo Rocha Vianna; Leliane N. de Barros; Scott Sanner
2017,Algorithms for Deciding Counting Quantifiers over Unary Predicates.,IME/USP,Marcelo Finger; Glauber De Bona
2017,Spatial Projection of Multiple Climate Variables Using Hierarchical Multitask Learning.,UNICAMP,André Ricardo Gonçalves; Arindam Banerjee; Fernando J. Von Zuben
2013,Speeding-up reinforcement learning through abstraction and transfer learning.,Poli/USP; EACH/USP,Marcelo Li Koga; Valdinei Freire da Silva; Fábio Gagliardi Cozman; Anna Helena Reali Costa
2013,Taxation search in boolean games.,UFRGS,Vadim Levit; Tal Grinshpoun; Amnon Meisels; Ana L. C. Bazzan
2014,Dealing with ambiguity in plan recognition under time constraints.,PUC-RS,Moser Silva Fagundes; Felipe Meneguzzi; Rafael H. Bordini; Renata Vieira
2017,GUBS: a Utility-Based Semantic for Goal-Directed Markov Decision Processes.,IME/USP; EACH/USP,Valdinei Freire; Karina Valdivia Delgado
2017,Learning to Minimise Regret in Route Choice.,UFRGS,Gabriel de Oliveira Ramos; Bruno Castro da Silva; Ana L. C. Bazzan
2017,Simultaneously Learning and Advising in Multiagent Reinforcement Learning.,Poli/USP,Felipe Leno da Silva; Ruben Glatt; Anna Helena Reali Costa
2013,Language Acquisition and Probabilistic Models: keeping it simple.,UFRGS,Aline Villavicencio; Marco Idiart; Robert C. Berwick; Igor Malioutov
2013,A grammatical evolution approach for software effort estimation.,ICMC/USP; UNIFESP; UFSCAR; PUC-RS,Rodrigo C. Barros; Márcio P. Basgalupp; Ricardo Cerri; Tiago S. da Silva; André C. P. L. F. Carvalho
2013,A novel movable partitions approach with neural networks and evolutionary algorithms for solving the hydroelectric unit commitment problem.,CEFET-MG,Pedro de Lima Abrão; Elizabeth Fialho Wanner; Paulo Eduardo Maciel de Almeida
2013,Iterated multi-swarm: a multi-swarm algorithm based on archiving methods.,UFPR,Andre Britto; Sanaz Mostaghim; Aurora T. R. Pozo
2013,The influence of linkage-learning in the linkage-tree GA when solving multidimensional knapsack problems.,ICMC/USP,Jean Paulo Martins; Alexandre Cláudio Botazzo Delbem
2014,A grammatical evolution based hyper-heuristic for the automatic design of split criteria.,UNIFESP; PUC-RS,Márcio Porto Basgalupp; Rodrigo Coelho Barros; Tiago Barabasz
2014,Generalized asymmetric partition crossover (GAPX) for the asymmetric TSP.,FFCLRP/USP,Renato Tinós; Darrell Whitley; Gabriela Ochoa
2014,Lithology discrimination using seismic elastic attributes: a genetic fuzzy classifier approach.,PUC-RJ,Eric da Silva Praxedes; Adriano Soares Koshiyama; Elita Selmara Abreu; Douglas Mota Dias; Marley Maria Bernardes Rebuzzi Vellasco; Marco Aurélio Cavalcanti Pacheco
2014,Multimodality and the linkage-learning difficulty of additively separable functions.,ICMC/USP,Jean Paulo Martins; Alexandre C. B. Delbem
2014,Use of explicit memory in the dynamic traveling salesman problem.,FFCLRP/USP,Renato Tinós; Darrell Whitley; Adele E. Howe
2015,A Hyper-Heuristic for the Multi-Objective Integration and Test Order Problem.,UFPR,Giovani Guizzo; Gian Mauricio Fritsche; Silvia Regina Vergilio; Aurora Trinidad Ramirez Pozo
2015,A Model with Evolutionary Covariance-based Learning for High-Frequency Financial Forecasting.,UFPE,Ricardo de A. Araújo; Adriano L. I. Oliveira; Silvio Romero de Lemos Meira
2015,GEFPSO: A Framework for PSO Optimization based on Grammatical Evolution.,UFPE,Péricles Barbosa C. de Miranda; Ricardo Bastos Cavalcante Prudêncio
2015,Simpler is Better: a Novel Genetic Algorithm to Induce Compact Multi-label Chain Classifiers.,UFF,Eduardo Corrêa Gonçalves; Alexandre Plastino; Alex Alves Freitas
2015,Towards the User Equilibrium in Traffic Assignment Using GRASP with Path Relinking.,UFRGS,Gabriel de Oliveira Ramos; Ana Lúcia Cetertich Bazzan
2015,Tunnelling Crossover Networks.,FFCLRP/USP,Gabriela Ochoa; Francisco Chicano; Renato Tinós; Darrell Whitley
2015,Using Multi-Objective Artificial Immune Systems to Find Core Collections Based on Molecular Markers.,ICMC/USP,Shana Schlottfeldt; Maria Emilia M. T. Walter; Jon Timmis; André C. P. L. F. Carvalho; Mariana P. C. Telles; José Alexandre Felizola Diniz-Filho
2016,A Dispersion Operator for Geometric Semantic Genetic Programming.,UFMG,Luiz Otávio Vilas Boas Oliveira; Fernando E. B. Otero; Gisele L. Pappa
2016,A Hybrid Multi-Population Genetic Algorithm for UAV Path Planning.,ICMC/USP,Márcio da Silva Arantes; Jesimar da Silva Arantes; Claudio Fabiano Motta Toledo; Brian Charles Williams
2016,A New Evaluation Function for Clustering: The NK Internal Validation Criterion.,FFCLRP/USP,Renato Tinós; Zhao Liang; Francisco Chicano; Darrell Whitley
2016,Discovering Combos in Fighting Games with Evolutionary Algorithms.,UFMG,Gianlucca L. Zuin; Yuri P. A. Macedo; Luiz Chaimowicz; Gisele L. Pappa
2016,Efficient Hill Climber for Constrained Pseudo-Boolean Optimization Problems.,FFCLRP/USP,Francisco Chicano; Darrell Whitley; Renato Tinós
2016,Grammatical Evolution for the Multi-Objective Integration and Test Order Problem.,UFPR,Thainá Mariani; Giovani Guizzo; Silvia Regina Vergilio; Aurora T. R. Pozo
2016,HMOBEDA: Hybrid Multi-objective Bayesian Estimation of Distribution Algorithm.,UTFPR; UNICENTRO,Marcella S. R. Martins; Myriam Regattieri de Biase da Silva Delgado; Roberto Santana; Ricardo Lüders; Richard Aderbal Gonçalves; Carolina Paula de Almeida
2016,On the Design of Hard mUBQP Instances.,UFPR,Murilo Zangari; Roberto Santana; Alexander Mendiburu; Aurora T. R. Pozo
2017,An embedded system architecture based on genetic algorithms for mission and safety planning with UAV.,ICMC/USP,Jesimar da Silva Arantes; Márcio da Silva Arantes; Claudio Fabiano Motta Toledo; Onofre Trindade Júnior; Brian C. Williams
2017,Building a better heuristic for the traveling salesman problem: combining edge assembly crossover and partition crossover.,FFCLRP/USP,Danilo Sanches; Darrell Whitley; Renato Tinós
2017,Estimating stop conditions of swarm based stochastic metaheuristic algorithms.,UTFPR,Peter Frank Perroni; Daniel Weingaertner; Myriam Regattieri Delgado
2017,How noisy data affects geometric semantic genetic programming.,UFMG,Luis F. Miranda; Luiz Otávio Vilas Boas Oliveira; Joao Francisco B. S. Martins; Gisele L. Pappa
2017,Hybrid metaheuristic for combinatorial optimization based on immune network for optimization and VNS.,CEFET-MG,Rodney O. M. Diana; Sergio R. de Souza; Elizabeth F. Wanner; Moacir F. França Filho
2017,Improving an exact solver for the traveling salesman problem using partition crossover.,FFCLRP/USP,Danilo Sanches; Darrell Whitley; Renato Tinós
2017,Optimizing one million variable NK landscapes by hybridizing deterministic recombination and local search.,FFCLRP/USP,Francisco Chicano; Darrell Whitley; Gabriela Ochoa; Renato Tinós
2017,Real-polarized genetic algorithm for the three-dimensional bin packing problem.,CEFET-MG,André Homem Dornas; Flávio Vinícius Cruzeiro Martins; João Fernando Machry Sarubbi; Elizabeth Fialho Wanner
2013,Robust Optimization for Hybrid MDPs with State-Dependent Noise.,IME/USP,Zahra Zamani; Scott Sanner; Karina Valdivia Delgado; Leliane Nunes de Barros
2015,Batch Reinforcement Learning for Smart Home Energy Management.,Poli/USP,Heider Berlink; Anna H. R. Costa
2015,Multi-Label Structure Learning with Ising Model Selection.,UNICAMP,André Ricardo Gonçalves; Fernando J. Von Zuben; Arindam Banerjee
2015,Optimal Electric Vehicle Charging Station Placement.,UFRGS,Yanhai Xiong; Jiarui Gan; Bo An; Chunyan Miao; Ana L. C. Bazzan
2015,The Complexity of MAP Inference in Bayesian Networks Specified Through Logical Languages.,IME/USP; Poli/USP,Denis Deratani Mauá; Cassio Polpo de Campos; Fábio Gagliardi Cozman
2014,Advances in Learning Bayesian Networks of Bounded Treewidth.,IME/USP,Siqi Nie; Denis Deratani Mauá; Cassio Polpo de Campos; Qiang Ji
